"date","value"
"18-01-11",1
"18-01-12",2
"18-01-15",3
"18-01-16",4
"18-02-15",5
"18-02-16",6
"18-02-19",7
"18-02-20",8
"18-03-23",9
"18-03-24",10
"18-03-31",11
"18-04-01",12
"18-05-24",13
"18-05-25",14
"18-05-28",15
"18-05-29",16
"18-07-03",17
"18-07-05",18
"18-07-07",19
"18-08-30",20
"18-08-31",21
"18-09-03",22
"18-09-04",23
"18-10-11",24
"18-10-12",25
"18-10-14",26
"18-10-15",27
"18-11-18",28
"18-11-19",29
"18-11-20",30
"18-11-21",31
"18-11-22",32
"18-11-23",33
"18-11-24",34
"18-11-25",35
"18-11-26",36
"18-11-27",37
"18-11-28",38
"18-12-21",39
"18-12-22",40
"18-12-26",41
"18-12-27",42
"18-12-28",43
"18-12-29",44
"18-12-30",45
"18-12-31",46
"19-01-01",47
"19-01-02",48
"19-01-03",49
"19-01-04",50
"19-01-05",51
"19-01-29",52
"19-01-30",53
"19-02-11",54
"19-02-12",55
