"departureDate","returnDate","price","holiday","daysBeforeDeparture","origin","destination"
24,26,48,"c",180,45,19
24,26,48,"c",179,45,19
24,26,48,"c",178,45,19
24,26,49,"c",177,45,19
24,26,48,"c",176,45,19
24,26,48,"c",175,45,19
24,26,48,"c",174,45,19
24,26,48,"c",173,45,19
24,26,48,"c",172,45,19
24,26,48,"c",171,45,19
24,26,48,"c",170,45,19
24,26,48,"c",169,45,19
24,26,48,"c",168,45,19
24,26,47,"c",167,45,19
24,26,47,"c",166,45,19
24,26,47,"c",165,45,19
24,26,47,"c",164,45,19
24,26,47,"c",163,45,19
24,26,47,"c",162,45,19
24,26,47,"c",161,45,19
24,26,48,"c",160,45,19
24,26,48,"c",159,45,19
24,26,48,"c",158,45,19
24,26,48,"c",157,45,19
24,26,48,"c",156,45,19
24,26,48,"c",155,45,19
24,26,48,"c",154,45,19
24,26,48,"c",153,45,19
24,26,48,"c",152,45,19
24,26,48,"c",151,45,19
24,26,48,"c",150,45,19
24,26,48,"c",149,45,19
24,26,48,"c",148,45,19
24,26,49,"c",147,45,19
24,26,43,"c",146,45,19
24,26,49,"c",145,45,19
24,26,49,"c",144,45,19
24,26,50,"c",143,45,19
24,26,50,"c",142,45,19
24,26,50,"c",141,45,19
24,26,50,"c",140,45,19
24,26,50,"c",139,45,19
24,26,50,"c",138,45,19
24,26,50,"c",137,45,19
24,26,50,"c",136,45,19
24,26,50,"c",135,45,19
24,26,49,"c",134,45,19
24,26,50,"c",133,45,19
24,26,48,"c",132,45,19
24,26,49,"c",131,45,19
24,26,48,"c",130,45,19
24,26,47,"c",129,45,19
24,26,25,"c",128,45,19
24,26,27,"c",127,45,19
24,26,41,"c",126,45,19
24,26,27,"c",125,45,19
24,26,35,"c",124,45,19
24,26,42,"c",123,45,19
24,26,52,"c",122,45,19
24,26,47,"c",121,45,19
24,26,47,"c",120,45,19
24,26,47,"c",119,45,19
24,26,47,"c",118,45,19
24,26,47,"c",117,45,19
24,26,47,"c",116,45,19
24,26,47,"c",115,45,19
24,26,53,"c",114,45,19
24,26,50,"c",113,45,19
24,26,52,"c",112,45,19
24,26,52,"c",111,45,19
24,26,52,"c",110,45,19
24,26,53,"c",109,45,19
24,26,55,"c",108,45,19
24,26,55,"c",107,45,19
24,26,53,"c",106,45,19
24,26,55,"c",105,45,19
24,26,55,"c",104,45,19
24,26,56,"c",103,45,19
24,26,56,"c",102,45,19
24,26,56,"c",101,45,19
24,26,56,"c",100,45,19
24,26,56,"c",99,45,19
24,26,56,"c",98,45,19
24,26,54,"c",97,45,19
24,26,54,"c",96,45,19
24,26,54,"c",95,45,19
24,26,54,"c",94,45,19
24,26,54,"c",93,45,19
24,26,54,"c",92,45,19
24,26,54,"c",91,45,19
24,26,54,"c",90,45,19
24,26,54,"c",89,45,19
24,26,54,"c",88,45,19
24,26,56,"c",87,45,19
24,26,56,"c",86,45,19
24,26,53,"c",85,45,19
24,26,53,"c",84,45,19
24,26,53,"c",83,45,19
24,26,54,"c",82,45,19
24,26,55,"c",81,45,19
24,26,54,"c",80,45,19
24,26,54,"c",79,45,19
24,26,57,"c",78,45,19
24,26,57,"c",77,45,19
24,26,57,"c",76,45,19
24,26,57,"c",75,45,19
24,26,57,"c",74,45,19
24,26,53,"c",73,45,19
24,26,54,"c",72,45,19
24,26,54,"c",71,45,19
24,26,54,"c",70,45,19
24,26,57,"c",69,45,19
24,26,51,"c",68,45,19
24,26,57,"c",67,45,19
24,26,51,"c",66,45,19
24,26,56,"c",65,45,19
24,26,51,"c",64,45,19
24,26,51,"c",63,45,19
24,26,56,"c",62,45,19
24,26,56,"c",61,45,19
24,26,53,"c",60,45,19
24,26,56,"c",59,45,19
24,26,48,"c",58,45,19
24,26,48,"c",57,45,19
24,26,48,"c",56,45,19
24,26,50,"c",55,45,19
24,26,50,"c",54,45,19
24,26,50,"c",53,45,19
24,26,50,"c",52,45,19
24,26,55,"c",51,45,19
24,26,53,"c",50,45,19
24,26,55,"c",49,45,19
24,26,55,"c",48,45,19
24,26,55,"c",47,45,19
24,26,53,"c",46,45,19
24,26,55,"c",45,45,19
24,26,55,"c",44,45,19
24,26,55,"c",43,45,19
24,26,53,"c",42,45,19
24,26,55,"c",41,45,19
24,26,53,"c",40,45,19
24,26,55,"c",39,45,19
24,26,55,"c",38,45,19
24,26,55,"c",37,45,19
24,26,55,"c",36,45,19
24,26,53,"c",35,45,19
24,26,53,"c",34,45,19
24,26,53,"c",33,45,19
24,26,53,"c",32,45,19
24,26,53,"c",31,45,19
24,26,53,"c",30,45,19
24,26,54,"c",29,45,19
24,26,50,"c",28,45,19
24,26,51,"c",27,45,19
24,26,51,"c",26,45,19
24,26,50,"c",25,45,19
24,26,51,"c",24,45,19
24,26,51,"c",23,45,19
24,26,54,"c",22,45,19
24,26,54,"c",21,45,19
24,26,55,"c",20,45,19
24,26,52,"c",19,45,19
24,26,52,"c",18,45,19
24,26,55,"c",17,45,19
24,26,55,"c",16,45,19
24,26,55,"c",15,45,19
24,26,55,"c",14,45,19
24,26,38,"c",13,45,19
24,26,55,"c",12,45,19
24,26,55,"c",11,45,19
24,26,50,"c",10,45,19
24,26,57,"c",9,45,19
24,26,61,"c",8,45,19
24,26,62,"c",7,45,19
24,26,63,"c",6,45,19
24,26,65,"c",5,45,19
24,26,65,"c",4,45,19
24,26,65,"c",3,45,19
24,26,65,"c",2,45,19
24,26,66,"c",1,45,19
24,27,47,"c",180,45,19
24,27,47,"c",179,45,19
24,27,47,"c",178,45,19
24,27,47,"c",177,45,19
24,27,47,"c",176,45,19
24,27,47,"c",175,45,19
24,27,47,"c",174,45,19
24,27,47,"c",173,45,19
24,27,47,"c",172,45,19
24,27,47,"c",171,45,19
24,27,47,"c",170,45,19
24,27,47,"c",169,45,19
24,27,47,"c",168,45,19
24,27,47,"c",167,45,19
24,27,47,"c",166,45,19
24,27,47,"c",165,45,19
24,27,47,"c",164,45,19
24,27,47,"c",163,45,19
24,27,47,"c",162,45,19
24,27,47,"c",161,45,19
24,27,47,"c",160,45,19
24,27,47,"c",159,45,19
24,27,53,"c",158,45,19
24,27,47,"c",157,45,19
24,27,47,"c",156,45,19
24,27,47,"c",155,45,19
24,27,47,"c",154,45,19
24,27,47,"c",153,45,19
24,27,47,"c",152,45,19
24,27,47,"c",151,45,19
24,27,47,"c",150,45,19
24,27,47,"c",149,45,19
24,27,47,"c",148,45,19
24,27,53,"c",147,45,19
24,27,47,"c",146,45,19
24,27,47,"c",145,45,19
24,27,47,"c",144,45,19
24,27,47,"c",143,45,19
24,27,47,"c",142,45,19
24,27,47,"c",141,45,19
24,27,52,"c",140,45,19
24,27,52,"c",139,45,19
24,27,47,"c",138,45,19
24,27,47,"c",137,45,19
24,27,52,"c",136,45,19
24,27,52,"c",135,45,19
24,27,52,"c",134,45,19
24,27,47,"c",133,45,19
24,27,47,"c",132,45,19
24,27,47,"c",131,45,19
24,27,47,"c",130,45,19
24,27,47,"c",129,45,19
24,27,35,"c",128,45,19
24,27,47,"c",127,45,19
24,27,47,"c",126,45,19
24,27,38,"c",125,45,19
24,27,38,"c",124,45,19
24,27,47,"c",123,45,19
24,27,47,"c",122,45,19
24,27,52,"c",121,45,19
24,27,47,"c",120,45,19
24,27,47,"c",119,45,19
24,27,47,"c",118,45,19
24,27,47,"c",117,45,19
24,27,47,"c",116,45,19
24,27,47,"c",115,45,19
24,27,47,"c",114,45,19
24,27,53,"c",113,45,19
24,27,53,"c",112,45,19
24,27,53,"c",111,45,19
24,27,47,"c",110,45,19
24,27,53,"c",109,45,19
24,27,47,"c",108,45,19
24,27,47,"c",107,45,19
24,27,53,"c",106,45,19
24,27,54,"c",105,45,19
24,27,52,"c",104,45,19
24,27,52,"c",103,45,19
24,27,52,"c",102,45,19
24,27,54,"c",101,45,19
24,27,54,"c",100,45,19
24,27,54,"c",99,45,19
24,27,52,"c",98,45,19
24,27,52,"c",97,45,19
24,27,52,"c",96,45,19
24,27,52,"c",95,45,19
24,27,52,"c",94,45,19
24,27,54,"c",93,45,19
24,27,54,"c",92,45,19
24,27,54,"c",91,45,19
24,27,52,"c",90,45,19
24,27,52,"c",89,45,19
24,27,52,"c",88,45,19
24,27,56,"c",87,45,19
24,27,56,"c",86,45,19
24,27,52,"c",85,45,19
24,27,52,"c",84,45,19
24,27,53,"c",83,45,19
24,27,54,"c",82,45,19
24,27,53,"c",81,45,19
24,27,52,"c",80,45,19
24,27,52,"c",79,45,19
24,27,52,"c",78,45,19
24,27,53,"c",77,45,19
24,27,52,"c",76,45,19
24,27,53,"c",75,45,19
24,27,53,"c",74,45,19
24,27,53,"c",73,45,19
24,27,54,"c",72,45,19
24,27,54,"c",71,45,19
24,27,54,"c",70,45,19
24,27,54,"c",69,45,19
24,27,54,"c",68,45,19
24,27,54,"c",67,45,19
24,27,54,"c",66,45,19
24,27,54,"c",65,45,19
24,27,54,"c",64,45,19
24,27,52,"c",63,45,19
24,27,49,"c",62,45,19
24,27,52,"c",61,45,19
24,27,54,"c",60,45,19
24,27,54,"c",59,45,19
24,27,51,"c",58,45,19
24,27,54,"c",57,45,19
24,27,54,"c",56,45,19
24,27,54,"c",55,45,19
24,27,54,"c",54,45,19
24,27,54,"c",53,45,19
24,27,54,"c",52,45,19
24,27,53,"c",51,45,19
24,27,53,"c",50,45,19
24,27,53,"c",49,45,19
24,27,53,"c",48,45,19
24,27,53,"c",47,45,19
24,27,53,"c",46,45,19
24,27,50,"c",45,45,19
24,27,50,"c",44,45,19
24,27,53,"c",43,45,19
24,27,49,"c",42,45,19
24,27,49,"c",41,45,19
24,27,41,"c",40,45,19
24,27,41,"c",39,45,19
24,27,45,"c",38,45,19
24,27,47,"c",37,45,19
24,27,48,"c",36,45,19
24,27,48,"c",35,45,19
24,27,48,"c",34,45,19
24,27,48,"c",33,45,19
24,27,48,"c",32,45,19
24,27,49,"c",31,45,19
24,27,48,"c",30,45,19
24,27,50,"c",29,45,19
24,27,45,"c",28,45,19
24,27,45,"c",27,45,19
24,27,45,"c",26,45,19
24,27,45,"c",25,45,19
24,27,45,"c",24,45,19
24,27,50,"c",23,45,19
24,27,50,"c",22,45,19
24,27,49,"c",21,45,19
24,27,49,"c",20,45,19
24,27,49,"c",19,45,19
24,27,52,"c",18,45,19
24,27,58,"c",17,45,19
24,27,51,"c",16,45,19
24,27,51,"c",15,45,19
24,27,53,"c",14,45,19
24,27,50,"c",13,45,19
24,27,50,"c",12,45,19
24,27,50,"c",11,45,19
24,27,55,"c",10,45,19
24,27,57,"c",9,45,19
24,27,57,"c",8,45,19
24,27,59,"c",7,45,19
24,27,59,"c",6,45,19
24,27,62,"c",5,45,19
24,27,62,"c",4,45,19
24,27,57,"c",3,45,19
24,27,63,"c",2,45,19
24,27,63,"c",1,45,19
25,27,47,"c",180,45,19
25,27,47,"c",179,45,19
25,27,47,"c",178,45,19
25,27,47,"c",177,45,19
25,27,47,"c",176,45,19
25,27,47,"c",175,45,19
25,27,47,"c",174,45,19
25,27,47,"c",173,45,19
25,27,47,"c",172,45,19
25,27,47,"c",171,45,19
25,27,47,"c",170,45,19
25,27,47,"c",169,45,19
25,27,47,"c",168,45,19
25,27,47,"c",167,45,19
25,27,47,"c",166,45,19
25,27,47,"c",165,45,19
25,27,47,"c",164,45,19
25,27,47,"c",163,45,19
25,27,47,"c",162,45,19
25,27,47,"c",161,45,19
25,27,47,"c",160,45,19
25,27,53,"c",159,45,19
25,27,53,"c",158,45,19
25,27,47,"c",157,45,19
25,27,47,"c",156,45,19
25,27,47,"c",155,45,19
25,27,47,"c",154,45,19
25,27,47,"c",153,45,19
25,27,47,"c",152,45,19
25,27,47,"c",151,45,19
25,27,47,"c",150,45,19
25,27,42,"c",149,45,19
25,27,47,"c",148,45,19
25,27,47,"c",147,45,19
25,27,47,"c",146,45,19
25,27,47,"c",145,45,19
25,27,47,"c",144,45,19
25,27,47,"c",143,45,19
25,27,47,"c",142,45,19
25,27,52,"c",141,45,19
25,27,47,"c",140,45,19
25,27,47,"c",139,45,19
25,27,52,"c",138,45,19
25,27,52,"c",137,45,19
25,27,53,"c",136,45,19
25,27,52,"c",135,45,19
25,27,52,"c",134,45,19
25,27,47,"c",133,45,19
25,27,47,"c",132,45,19
25,27,47,"c",131,45,19
25,27,47,"c",130,45,19
25,27,35,"c",129,45,19
25,27,47,"c",128,45,19
25,27,47,"c",127,45,19
25,27,47,"c",126,45,19
25,27,49,"c",125,45,19
25,27,47,"c",124,45,19
25,27,47,"c",123,45,19
25,27,47,"c",122,45,19
25,27,47,"c",121,45,19
25,27,47,"c",120,45,19
25,27,47,"c",119,45,19
25,27,53,"c",118,45,19
25,27,47,"c",117,45,19
25,27,53,"c",116,45,19
25,27,47,"c",115,45,19
