"departureDate","returnDate","price","holiday","daysBeforeDeparture","origin","destination"
13,15,22,"e",180,2,9
13,15,22,"e",179,2,9
13,15,22,"e",178,2,9
13,15,22,"e",177,2,9
13,15,22,"e",176,2,9
13,15,22,"e",175,2,9
13,15,22,"e",174,2,9
13,15,22,"e",173,2,9
13,15,22,"e",172,2,9
13,15,22,"e",171,2,9
13,15,22,"e",170,2,9
13,15,22,"e",169,2,9
13,15,22,"e",168,2,9
13,15,22,"e",167,2,9
13,15,22,"e",166,2,9
13,15,22,"e",165,2,9
13,15,22,"e",164,2,9
13,15,22,"e",163,2,9
13,15,22,"e",162,2,9
13,15,22,"e",161,2,9
13,15,22,"e",160,2,9
13,15,22,"e",159,2,9
13,15,22,"e",158,2,9
13,15,22,"e",157,2,9
13,15,22,"e",156,2,9
13,15,22,"e",155,2,9
13,15,22,"e",154,2,9
13,15,22,"e",153,2,9
13,15,22,"e",152,2,9
13,15,22,"e",151,2,9
13,15,22,"e",150,2,9
13,15,22,"e",149,2,9
13,15,22,"e",148,2,9
13,15,22,"e",147,2,9
13,15,22,"e",146,2,9
13,15,22,"e",145,2,9
13,15,22,"e",144,2,9
13,15,22,"e",143,2,9
13,15,22,"e",142,2,9
13,15,22,"e",141,2,9
13,15,22,"e",140,2,9
13,15,22,"e",139,2,9
13,15,22,"e",138,2,9
13,15,22,"e",137,2,9
13,15,22,"e",136,2,9
13,15,22,"e",135,2,9
13,15,22,"e",134,2,9
13,15,22,"e",133,2,9
13,15,22,"e",132,2,9
13,15,22,"e",131,2,9
13,15,22,"e",130,2,9
13,15,22,"e",129,2,9
13,15,22,"e",128,2,9
13,15,22,"e",127,2,9
13,15,15,"e",126,2,9
13,15,13,"e",125,2,9
13,15,13,"e",124,2,9
13,15,13,"e",123,2,9
13,15,13,"e",122,2,9
13,15,13,"e",121,2,9
13,15,17,"e",120,2,9
13,15,19,"e",119,2,9
13,15,17,"e",118,2,9
13,15,17,"e",117,2,9
13,15,17,"e",116,2,9
13,15,17,"e",115,2,9
13,15,17,"e",114,2,9
13,15,17,"e",113,2,9
13,15,17,"e",112,2,9
13,15,17,"e",111,2,9
13,15,17,"e",110,2,9
13,15,17,"e",109,2,9
13,15,17,"e",108,2,9
13,15,19,"e",107,2,9
13,15,17,"e",106,2,9
13,15,16,"e",105,2,9
13,15,16,"e",104,2,9
13,15,19,"e",103,2,9
13,15,19,"e",102,2,9
13,15,16,"e",101,2,9
13,15,16,"e",100,2,9
13,15,17,"e",99,2,9
13,15,17,"e",98,2,9
13,15,17,"e",97,2,9
13,15,19,"e",96,2,9
13,15,19,"e",95,2,9
13,15,19,"e",94,2,9
13,15,19,"e",93,2,9
13,15,19,"e",92,2,9
13,15,19,"e",91,2,9
13,15,18,"e",90,2,9
13,15,17,"e",89,2,9
13,15,17,"e",88,2,9
13,15,17,"e",87,2,9
13,15,17,"e",86,2,9
13,15,17,"e",85,2,9
13,15,17,"e",84,2,9
13,15,17,"e",83,2,9
13,15,17,"e",82,2,9
13,15,17,"e",81,2,9
13,15,17,"e",80,2,9
13,15,17,"e",79,2,9
13,15,17,"e",78,2,9
13,15,17,"e",77,2,9
13,15,17,"e",76,2,9
13,15,17,"e",75,2,9
13,15,17,"e",74,2,9
13,15,17,"e",73,2,9
13,15,17,"e",72,2,9
13,15,17,"e",71,2,9
13,15,17,"e",70,2,9
13,15,17,"e",69,2,9
13,15,17,"e",68,2,9
13,15,16,"e",67,2,9
13,15,17,"e",66,2,9
13,15,16,"e",65,2,9
13,15,18,"e",64,2,9
13,15,16,"e",63,2,9
13,15,16,"e",62,2,9
13,15,16,"e",61,2,9
13,15,16,"e",60,2,9
13,15,16,"e",59,2,9
13,15,16,"e",58,2,9
13,15,15,"e",57,2,9
13,15,17,"e",56,2,9
13,15,17,"e",55,2,9
13,15,17,"e",54,2,9
13,15,17,"e",53,2,9
13,15,17,"e",52,2,9
13,15,18,"e",51,2,9
13,15,16,"e",50,2,9
13,15,16,"e",49,2,9
13,15,15,"e",48,2,9
13,15,16,"e",47,2,9
13,15,16,"e",46,2,9
13,15,17,"e",45,2,9
13,15,17,"e",44,2,9
13,15,17,"e",43,2,9
13,15,17,"e",42,2,9
13,15,20,"e",41,2,9
13,15,14,"e",40,2,9
13,15,17,"e",39,2,9
13,15,17,"e",38,2,9
13,15,17,"e",37,2,9
13,15,18,"e",36,2,9
13,15,18,"e",35,2,9
13,15,18,"e",34,2,9
13,15,18,"e",33,2,9
13,15,20,"e",32,2,9
13,15,19,"e",31,2,9
13,15,19,"e",30,2,9
13,15,19,"e",29,2,9
13,15,17,"e",28,2,9
13,15,18,"e",27,2,9
13,15,16,"e",26,2,9
13,15,13,"e",25,2,9
13,15,13,"e",24,2,9
13,15,16,"e",23,2,9
13,15,20,"e",22,2,9
13,15,18,"e",21,2,9
13,15,18,"e",20,2,9
13,15,15,"e",19,2,9
13,15,15,"e",18,2,9
13,15,18,"e",17,2,9
13,15,14,"e",16,2,9
13,15,10,"e",15,2,9
13,15,13,"e",14,2,9
13,15,16,"e",13,2,9
13,15,14,"e",12,2,9
13,15,18,"e",11,2,9
13,15,16,"e",10,2,9
13,15,13,"e",9,2,9
13,15,21,"e",8,2,9
13,15,21,"e",7,2,9
13,15,14,"e",6,2,9
13,15,19,"e",5,2,9
13,15,19,"e",4,2,9
13,15,19,"e",3,2,9
13,15,19,"e",2,2,9
13,15,32,"e",1,2,9
13,16,18,"e",180,2,9
13,16,18,"e",179,2,9
13,16,18,"e",178,2,9
13,16,18,"e",177,2,9
13,16,18,"e",176,2,9
13,16,18,"e",175,2,9
13,16,18,"e",174,2,9
13,16,18,"e",173,2,9
13,16,18,"e",172,2,9
13,16,18,"e",171,2,9
13,16,18,"e",170,2,9
13,16,18,"e",169,2,9
13,16,18,"e",168,2,9
13,16,18,"e",167,2,9
13,16,18,"e",166,2,9
13,16,18,"e",165,2,9
13,16,18,"e",164,2,9
13,16,18,"e",163,2,9
13,16,18,"e",162,2,9
13,16,18,"e",161,2,9
13,16,18,"e",160,2,9
13,16,18,"e",159,2,9
13,16,18,"e",158,2,9
13,16,18,"e",157,2,9
13,16,18,"e",156,2,9
13,16,18,"e",155,2,9
13,16,18,"e",154,2,9
13,16,18,"e",153,2,9
13,16,18,"e",152,2,9
13,16,18,"e",151,2,9
13,16,18,"e",150,2,9
13,16,18,"e",149,2,9
13,16,18,"e",148,2,9
13,16,18,"e",147,2,9
13,16,18,"e",146,2,9
13,16,18,"e",145,2,9
13,16,18,"e",144,2,9
13,16,18,"e",143,2,9
13,16,18,"e",142,2,9
13,16,17,"e",141,2,9
13,16,17,"e",140,2,9
13,16,17,"e",139,2,9
13,16,17,"e",138,2,9
13,16,17,"e",137,2,9
13,16,17,"e",136,2,9
13,16,17,"e",135,2,9
13,16,17,"e",134,2,9
13,16,17,"e",133,2,9
13,16,17,"e",132,2,9
13,16,17,"e",131,2,9
13,16,17,"e",130,2,9
13,16,17,"e",129,2,9
13,16,17,"e",128,2,9
13,16,17,"e",127,2,9
13,16,14,"e",126,2,9
13,16,14,"e",125,2,9
13,16,14,"e",124,2,9
13,16,14,"e",123,2,9
13,16,14,"e",122,2,9
13,16,14,"e",121,2,9
13,16,14,"e",120,2,9
13,16,14,"e",119,2,9
13,16,14,"e",118,2,9
13,16,14,"e",117,2,9
13,16,14,"e",116,2,9
13,16,14,"e",115,2,9
13,16,14,"e",114,2,9
13,16,14,"e",113,2,9
13,16,14,"e",112,2,9
13,16,15,"e",111,2,9
13,16,15,"e",110,2,9
13,16,15,"e",109,2,9
13,16,15,"e",108,2,9
13,16,15,"e",107,2,9
13,16,15,"e",106,2,9
13,16,16,"e",105,2,9
13,16,14,"e",104,2,9
13,16,14,"e",103,2,9
13,16,14,"e",102,2,9
13,16,14,"e",101,2,9
13,16,14,"e",100,2,9
13,16,14,"e",99,2,9
13,16,14,"e",98,2,9
13,16,14,"e",97,2,9
13,16,16,"e",96,2,9
13,16,16,"e",95,2,9
13,16,16,"e",94,2,9
13,16,16,"e",93,2,9
13,16,15,"e",92,2,9
13,16,16,"e",91,2,9
13,16,14,"e",90,2,9
13,16,14,"e",89,2,9
13,16,14,"e",88,2,9
13,16,14,"e",87,2,9
13,16,14,"e",86,2,9
13,16,14,"e",85,2,9
13,16,14,"e",84,2,9
13,16,14,"e",83,2,9
13,16,14,"e",82,2,9
13,16,14,"e",81,2,9
13,16,12,"e",80,2,9
13,16,12,"e",79,2,9
13,16,12,"e",78,2,9
13,16,12,"e",77,2,9
13,16,12,"e",76,2,9
13,16,15,"e",75,2,9
13,16,15,"e",74,2,9
13,16,14,"e",73,2,9
13,16,14,"e",72,2,9
13,16,15,"e",71,2,9
13,16,13,"e",70,2,9
13,16,13,"e",69,2,9
13,16,13,"e",68,2,9
13,16,12,"e",67,2,9
13,16,13,"e",66,2,9
13,16,12,"e",65,2,9
13,16,12,"e",64,2,9
13,16,12,"e",63,2,9
13,16,11,"e",62,2,9
13,16,11,"e",61,2,9
13,16,11,"e",60,2,9
13,16,11,"e",59,2,9
13,16,11,"e",58,2,9
13,16,11,"e",57,2,9
13,16,13,"e",56,2,9
13,16,13,"e",55,2,9
13,16,13,"e",54,2,9
13,16,13,"e",53,2,9
13,16,13,"e",52,2,9
13,16,14,"e",51,2,9
13,16,12,"e",50,2,9
13,16,12,"e",49,2,9
13,16,12,"e",48,2,9
13,16,12,"e",47,2,9
13,16,12,"e",46,2,9
13,16,12,"e",45,2,9
13,16,13,"e",44,2,9
13,16,13,"e",43,2,9
13,16,13,"e",42,2,9
13,16,14,"e",41,2,9
13,16,14,"e",40,2,9
13,16,14,"e",39,2,9
13,16,14,"e",38,2,9
13,16,14,"e",37,2,9
13,16,14,"e",36,2,9
13,16,15,"e",35,2,9
13,16,16,"e",34,2,9
13,16,16,"e",33,2,9
13,16,16,"e",32,2,9
13,16,15,"e",31,2,9
13,16,15,"e",30,2,9
13,16,15,"e",29,2,9
13,16,12,"e",28,2,9
13,16,12,"e",27,2,9
13,16,12,"e",26,2,9
13,16,9.8,"e",25,2,9
13,16,12,"e",24,2,9
13,16,12,"e",23,2,9
13,16,17,"e",22,2,9
13,16,15,"e",21,2,9
13,16,15,"e",20,2,9
13,16,14,"e",19,2,9
13,16,14,"e",18,2,9
13,16,14,"e",17,2,9
13,16,14,"e",16,2,9
13,16,10,"e",15,2,9
13,16,12,"e",14,2,9
13,16,17,"e",13,2,9
13,16,10,"e",12,2,9
13,16,14,"e",11,2,9
13,16,13,"e",10,2,9
13,16,13,"e",9,2,9
13,16,14,"e",8,2,9
13,16,14,"e",7,2,9
13,16,14,"e",6,2,9
13,16,14,"e",5,2,9
13,16,14,"e",4,2,9
13,16,19,"e",3,2,9
13,16,21,"e",2,2,9
13,16,18,"e",1,2,9
14,15,23,"e",180,2,9
14,15,23,"e",179,2,9
14,15,23,"e",178,2,9
14,15,23,"e",177,2,9
14,15,23,"e",176,2,9
14,15,24,"e",175,2,9
14,15,24,"e",174,2,9
14,15,24,"e",173,2,9
14,15,24,"e",172,2,9
14,15,24,"e",171,2,9
14,15,23,"e",170,2,9
14,15,24,"e",169,2,9
14,15,24,"e",168,2,9
14,15,24,"e",167,2,9
14,15,23,"e",166,2,9
14,16,20,"e",180,2,9
14,16,20,"e",179,2,9
14,16,20,"e",178,2,9
14,16,20,"e",177,2,9
14,16,20,"e",176,2,9
14,16,20,"e",175,2,9
14,16,20,"e",174,2,9
14,16,20,"e",173,2,9
14,15,23,"e",165,2,9
14,15,24,"e",164,2,9
14,15,24,"e",163,2,9
14,15,23,"e",162,2,9
14,15,23,"e",161,2,9
14,15,23,"e",160,2,9
14,15,23,"e",159,2,9
14,16,20,"e",172,2,9
14,16,20,"e",171,2,9
14,16,20,"e",170,2,9
14,15,23,"e",158,2,9
14,16,20,"e",169,2,9
14,16,20,"e",168,2,9
14,16,20,"e",167,2,9
14,15,24,"e",157,2,9
14,15,23,"e",156,2,9
14,15,23,"e",155,2,9
14,15,23,"e",154,2,9
14,16,20,"e",166,2,9
14,16,20,"e",165,2,9
14,16,20,"e",164,2,9
14,16,20,"e",163,2,9
14,16,19,"e",162,2,9
14,16,19,"e",161,2,9
14,15,23,"e",153,2,9
14,16,19,"e",160,2,9
14,16,19,"e",159,2,9
14,15,23,"e",152,2,9
14,16,19,"e",158,2,9
14,16,20,"e",157,2,9
14,16,19,"e",156,2,9
14,16,19,"e",155,2,9
14,15,23,"e",151,2,9
14,15,23,"e",150,2,9
14,15,23,"e",149,2,9
14,16,19,"e",154,2,9
14,15,24,"e",148,2,9
14,16,20,"e",153,2,9
14,16,20,"e",152,2,9
14,16,20,"e",151,2,9
14,16,19,"e",150,2,9
14,16,19,"e",149,2,9
14,16,19,"e",148,2,9
14,16,19,"e",147,2,9
14,16,19,"e",146,2,9
14,15,23,"e",147,2,9
14,15,23,"e",146,2,9
14,16,19,"e",145,2,9
14,16,19,"e",144,2,9
14,15,23,"e",145,2,9
14,16,19,"e",143,2,9
14,16,18,"e",142,2,9
14,16,18,"e",141,2,9
14,16,18,"e",140,2,9
14,16,18,"e",139,2,9
14,16,18,"e",138,2,9
14,16,18,"e",137,2,9
14,16,18,"e",136,2,9
14,15,23,"e",144,2,9
14,16,18,"e",135,2,9
14,16,18,"e",134,2,9
14,16,18,"e",133,2,9
14,16,18,"e",132,2,9
14,16,18,"e",131,2,9
14,16,18,"e",130,2,9
14,16,18,"e",129,2,9
14,16,18,"e",128,2,9
14,15,23,"e",143,2,9
14,16,17,"e",127,2,9
14,16,19,"e",126,2,9
14,16,19,"e",125,2,9
14,15,23,"e",142,2,9
14,16,19,"e",124,2,9
14,16,19,"e",123,2,9
14,16,19,"e",122,2,9
14,16,19,"e",121,2,9
14,16,19,"e",120,2,9
14,16,17,"e",119,2,9
14,16,17,"e",118,2,9
14,16,17,"e",117,2,9
14,15,23,"e",141,2,9
14,16,17,"e",116,2,9
14,16,17,"e",115,2,9
14,15,23,"e",140,2,9
14,15,23,"e",139,2,9
14,15,23,"e",138,2,9
14,15,23,"e",137,2,9
14,16,17,"e",114,2,9
14,16,16,"e",113,2,9
14,15,23,"e",136,2,9
14,15,23,"e",135,2,9
14,16,16,"e",112,2,9
14,16,16,"e",111,2,9
14,15,23,"e",134,2,9
14,16,16,"e",110,2,9
14,16,16,"e",109,2,9
14,16,18,"e",108,2,9
14,16,18,"e",107,2,9
14,16,18,"e",106,2,9
14,16,17,"e",105,2,9
14,16,17,"e",104,2,9
14,16,17,"e",103,2,9
14,15,23,"e",133,2,9
14,16,17,"e",102,2,9
14,16,17,"e",101,2,9
14,16,15,"e",100,2,9
14,15,23,"e",132,2,9
14,16,15,"e",99,2,9
14,16,15,"e",98,2,9
14,16,18,"e",97,2,9
14,16,18,"e",96,2,9
14,16,18,"e",95,2,9
14,16,18,"e",94,2,9
14,16,17,"e",93,2,9
14,16,17,"e",92,2,9
14,15,23,"e",131,2,9
14,16,17,"e",91,2,9
14,16,17,"e",90,2,9
14,16,17,"e",89,2,9
14,16,17,"e",88,2,9
14,16,17,"e",87,2,9
14,16,17,"e",86,2,9
14,16,17,"e",85,2,9
14,16,17,"e",84,2,9
14,16,17,"e",83,2,9
14,16,17,"e",82,2,9
14,16,15,"e",81,2,9
14,16,15,"e",80,2,9
14,15,23,"e",130,2,9
14,16,14,"e",79,2,9
14,16,14,"e",78,2,9
14,16,14,"e",77,2,9
14,16,17,"e",76,2,9
14,15,23,"e",129,2,9
14,16,17,"e",75,2,9
14,16,15,"e",74,2,9
14,16,15,"e",73,2,9
14,15,23,"e",128,2,9
14,16,17,"e",72,2,9
14,16,15,"e",71,2,9
14,16,15,"e",70,2,9
14,16,14,"e",69,2,9
14,15,20,"e",127,2,9
14,15,18,"e",126,2,9
14,16,14,"e",68,2,9
14,15,18,"e",125,2,9
14,15,18,"e",124,2,9
14,16,14,"e",67,2,9
14,15,18,"e",123,2,9
14,16,15,"e",66,2,9
14,16,15,"e",65,2,9
14,16,15,"e",64,2,9
14,16,15,"e",63,2,9
14,16,15,"e",62,2,9
14,16,15,"e",61,2,9
14,16,15,"e",60,2,9
14,16,15,"e",59,2,9
14,16,16,"e",58,2,9
14,16,16,"e",57,2,9
14,16,16,"e",56,2,9
14,16,16,"e",55,2,9
14,16,16,"e",54,2,9
14,16,16,"e",53,2,9
14,16,16,"e",52,2,9
14,16,15,"e",51,2,9
14,16,15,"e",50,2,9
14,16,15,"e",49,2,9
14,16,15,"e",48,2,9
14,15,18,"e",122,2,9
14,16,15,"e",47,2,9
14,16,16,"e",46,2,9
14,16,16,"e",45,2,9
14,15,22,"e",121,2,9
14,16,16,"e",44,2,9
14,16,16,"e",43,2,9
14,16,16,"e",42,2,9
14,16,16,"e",41,2,9
14,16,16,"e",40,2,9
14,16,16,"e",39,2,9
14,16,16,"e",38,2,9
14,16,16,"e",37,2,9
14,15,22,"e",120,2,9
