"departureDate","returnDate","price","holiday","daysBeforeDeparture","origin","destination"
25,27,71,"m",180,6,1
25,27,71,"m",179,6,1
25,27,71,"m",178,6,1
25,27,70,"m",177,6,1
25,27,70,"m",176,6,1
25,27,45,"m",175,6,1
25,27,45,"m",174,6,1
25,27,45,"m",173,6,1
25,27,45,"m",172,6,1
25,27,45,"m",171,6,1
25,27,45,"m",170,6,1
25,27,45,"m",169,6,1
25,27,62,"m",168,6,1
25,27,62,"m",167,6,1
25,27,62,"m",166,6,1
25,27,62,"m",165,6,1
25,27,62,"m",164,6,1
25,27,62,"m",163,6,1
25,27,62,"m",162,6,1
25,27,50,"m",161,6,1
25,27,50,"m",160,6,1
25,27,50,"m",159,6,1
25,27,50,"m",158,6,1
25,27,50,"m",157,6,1
25,27,50,"m",156,6,1
25,27,50,"m",155,6,1
25,27,49,"m",154,6,1
25,27,49,"m",153,6,1
25,27,49,"m",152,6,1
25,27,49,"m",151,6,1
25,27,49,"m",150,6,1
25,27,49,"m",149,6,1
25,27,49,"m",148,6,1
25,27,49,"m",147,6,1
25,27,49,"m",146,6,1
25,27,49,"m",145,6,1
25,27,49,"m",144,6,1
25,27,49,"m",143,6,1
25,27,49,"m",142,6,1
25,27,49,"m",141,6,1
25,27,46,"m",140,6,1
25,27,46,"m",139,6,1
25,27,46,"m",138,6,1
25,27,46,"m",137,6,1
25,27,46,"m",136,6,1
25,27,46,"m",135,6,1
25,27,46,"m",134,6,1
25,27,50,"m",133,6,1
25,27,50,"m",132,6,1
25,27,50,"m",131,6,1
25,27,50,"m",130,6,1
25,27,50,"m",129,6,1
25,27,50,"m",128,6,1
25,27,50,"m",127,6,1
25,27,50,"m",126,6,1
25,27,44,"m",125,6,1
25,27,44,"m",124,6,1
25,27,44,"m",123,6,1
25,27,44,"m",122,6,1
25,27,44,"m",121,6,1
25,27,44,"m",120,6,1
25,27,48,"m",119,6,1
25,27,48,"m",118,6,1
25,27,48,"m",117,6,1
25,27,48,"m",116,6,1
25,27,48,"m",115,6,1
25,27,48,"m",114,6,1
25,27,51,"m",113,6,1
25,27,51,"m",112,6,1
25,27,51,"m",111,6,1
25,27,51,"m",110,6,1
25,27,51,"m",109,6,1
25,27,51,"m",108,6,1
25,27,51,"m",107,6,1
25,27,45,"m",106,6,1
25,27,45,"m",105,6,1
25,27,45,"m",104,6,1
25,27,45,"m",103,6,1
25,27,45,"m",102,6,1
25,27,45,"m",101,6,1
25,27,45,"m",100,6,1
25,27,34,"m",99,6,1
25,27,40,"m",98,6,1
25,27,42,"m",97,6,1
25,27,41,"m",96,6,1
25,27,41,"m",95,6,1
25,27,41,"m",94,6,1
25,27,46,"m",93,6,1
25,27,46,"m",92,6,1
25,27,46,"m",91,6,1
25,27,35,"m",90,6,1
25,27,35,"m",89,6,1
25,27,35,"m",88,6,1
25,27,52,"m",87,6,1
25,27,52,"m",86,6,1
25,27,57,"m",85,6,1
25,27,57,"m",84,6,1
25,27,57,"m",83,6,1
25,27,57,"m",82,6,1
25,27,57,"m",81,6,1
25,27,57,"m",80,6,1
25,27,57,"m",79,6,1
25,27,57,"m",78,6,1
25,27,57,"m",77,6,1
25,27,57,"m",76,6,1
25,27,56,"m",75,6,1
25,27,56,"m",74,6,1
25,27,56,"m",73,6,1
25,27,56,"m",72,6,1
25,27,45,"m",71,6,1
25,27,57,"m",70,6,1
25,27,57,"m",69,6,1
25,27,57,"m",68,6,1
25,27,57,"m",67,6,1
25,27,56,"m",66,6,1
25,27,45,"m",65,6,1
25,27,57,"m",64,6,1
25,27,46,"m",63,6,1
25,27,57,"m",62,6,1
25,27,57,"m",61,6,1
25,27,57,"m",60,6,1
25,27,40,"m",59,6,1
25,27,57,"m",58,6,1
25,27,57,"m",57,6,1
25,27,57,"m",56,6,1
25,27,62,"m",55,6,1
25,27,40,"m",54,6,1
25,27,40,"m",53,6,1
25,27,60,"m",52,6,1
25,27,60,"m",51,6,1
25,27,60,"m",50,6,1
25,27,60,"m",49,6,1
25,27,60,"m",48,6,1
25,27,60,"m",47,6,1
25,27,62,"m",46,6,1
25,27,63,"m",45,6,1
25,27,55,"m",44,6,1
25,27,63,"m",43,6,1
25,27,63,"m",42,6,1
25,27,63,"m",41,6,1
25,27,63,"m",40,6,1
25,27,63,"m",39,6,1
25,27,66,"m",38,6,1
25,27,66,"m",37,6,1
25,27,66,"m",36,6,1
25,27,66,"m",35,6,1
25,27,58,"m",34,6,1
25,27,58,"m",33,6,1
25,27,58,"m",32,6,1
25,27,58,"m",31,6,1
25,27,58,"m",30,6,1
25,27,49,"m",29,6,1
25,27,59,"m",28,6,1
25,27,66,"m",27,6,1
25,27,66,"m",26,6,1
25,27,66,"m",25,6,1
25,27,68,"m",24,6,1
25,27,57,"m",23,6,1
25,27,49,"m",22,6,1
25,27,44,"m",21,6,1
25,27,83,"m",20,6,1
25,27,65,"m",19,6,1
25,27,65,"m",18,6,1
25,27,65,"m",17,6,1
25,27,65,"m",16,6,1
25,27,71,"m",15,6,1
25,27,97,"m",14,6,1
25,27,99,"m",13,6,1
25,27,100,"m",12,6,1
25,27,94,"m",11,6,1
25,27,94,"m",10,6,1
25,27,59,"m",9,6,1
25,27,60,"m",8,6,1
25,27,86,"m",7,6,1
25,27,87,"m",6,6,1
25,27,87,"m",5,6,1
25,27,110,"m",4,6,1
25,27,98,"m",3,6,1
25,27,110,"m",2,6,1
25,27,110,"m",1,6,1
25,28,76,"m",180,6,1
25,28,76,"m",179,6,1
25,28,76,"m",178,6,1
25,28,77,"m",177,6,1
25,28,70,"m",176,6,1
25,28,47,"m",175,6,1
25,28,47,"m",174,6,1
25,28,47,"m",173,6,1
25,28,47,"m",172,6,1
25,28,47,"m",171,6,1
25,28,47,"m",170,6,1
25,28,47,"m",169,6,1
25,28,64,"m",168,6,1
25,28,64,"m",167,6,1
25,28,64,"m",166,6,1
25,28,64,"m",165,6,1
25,28,64,"m",164,6,1
25,28,64,"m",163,6,1
25,28,64,"m",162,6,1
25,28,51,"m",161,6,1
25,28,51,"m",160,6,1
25,28,51,"m",159,6,1
25,28,51,"m",158,6,1
25,28,51,"m",157,6,1
25,28,51,"m",156,6,1
25,28,51,"m",155,6,1
25,28,51,"m",154,6,1
25,28,51,"m",153,6,1
25,28,51,"m",152,6,1
25,28,51,"m",151,6,1
25,28,51,"m",150,6,1
25,28,51,"m",149,6,1
25,28,51,"m",148,6,1
25,28,51,"m",147,6,1
25,28,51,"m",146,6,1
25,28,51,"m",145,6,1
25,28,51,"m",144,6,1
25,28,51,"m",143,6,1
25,28,51,"m",142,6,1
25,28,51,"m",141,6,1
25,28,48,"m",140,6,1
25,28,48,"m",139,6,1
25,28,48,"m",138,6,1
25,28,48,"m",137,6,1
25,28,48,"m",136,6,1
25,28,48,"m",135,6,1
25,28,48,"m",134,6,1
25,28,51,"m",133,6,1
25,28,51,"m",132,6,1
25,28,51,"m",131,6,1
25,28,51,"m",130,6,1
25,28,51,"m",129,6,1
25,28,51,"m",128,6,1
25,28,51,"m",127,6,1
25,28,51,"m",126,6,1
25,28,45,"m",125,6,1
25,28,45,"m",124,6,1
25,28,45,"m",123,6,1
25,28,45,"m",122,6,1
25,28,45,"m",121,6,1
25,28,45,"m",120,6,1
25,28,50,"m",119,6,1
25,28,50,"m",118,6,1
25,28,50,"m",117,6,1
25,28,50,"m",116,6,1
25,28,50,"m",115,6,1
25,28,50,"m",114,6,1
25,28,52,"m",113,6,1
25,28,52,"m",112,6,1
25,28,52,"m",111,6,1
25,28,52,"m",110,6,1
25,28,52,"m",109,6,1
25,28,52,"m",108,6,1
25,28,52,"m",107,6,1
25,28,47,"m",106,6,1
25,28,47,"m",105,6,1
25,28,47,"m",104,6,1
25,28,47,"m",103,6,1
25,28,47,"m",102,6,1
25,28,47,"m",101,6,1
25,28,47,"m",100,6,1
25,28,35,"m",99,6,1
25,28,41,"m",98,6,1
25,28,42,"m",97,6,1
25,28,41,"m",96,6,1
25,28,41,"m",95,6,1
25,28,47,"m",94,6,1
25,28,47,"m",93,6,1
25,28,47,"m",92,6,1
25,28,47,"m",91,6,1
25,28,37,"m",90,6,1
25,28,37,"m",89,6,1
25,28,37,"m",88,6,1
25,28,54,"m",87,6,1
25,28,53,"m",86,6,1
25,28,53,"m",85,6,1
25,28,53,"m",84,6,1
25,28,53,"m",83,6,1
25,28,53,"m",82,6,1
25,28,57,"m",81,6,1
25,28,57,"m",80,6,1
25,28,57,"m",79,6,1
25,28,57,"m",78,6,1
25,28,57,"m",77,6,1
25,28,57,"m",76,6,1
25,28,44,"m",75,6,1
25,28,44,"m",74,6,1
25,28,44,"m",73,6,1
25,28,57,"m",72,6,1
25,28,45,"m",71,6,1
25,28,53,"m",70,6,1
25,28,53,"m",69,6,1
25,28,53,"m",68,6,1
25,28,53,"m",67,6,1
25,28,53,"m",66,6,1
25,28,53,"m",65,6,1
25,28,53,"m",64,6,1
