"departureDate","returnDate","price","holiday","daysBeforeDeparture","origin","destination"
5,8,51,"p",180,9,1
5,8,51,"p",179,9,1
5,8,51,"p",178,9,1
5,8,51,"p",177,9,1
5,8,51,"p",176,9,1
5,8,48,"p",175,9,1
5,8,48,"p",174,9,1
5,8,48,"p",173,9,1
5,8,48,"p",172,9,1
5,8,48,"p",171,9,1
5,8,48,"p",170,9,1
5,8,48,"p",169,9,1
5,8,51,"p",168,9,1
5,8,51,"p",167,9,1
5,8,51,"p",166,9,1
5,8,51,"p",165,9,1
5,8,51,"p",164,9,1
5,8,51,"p",163,9,1
5,8,51,"p",162,9,1
5,8,51,"p",161,9,1
5,8,45,"p",160,9,1
5,8,45,"p",159,9,1
5,8,45,"p",158,9,1
5,8,45,"p",157,9,1
5,8,45,"p",156,9,1
5,8,45,"p",155,9,1
5,8,50,"p",154,9,1
5,8,50,"p",153,9,1
5,8,50,"p",152,9,1
5,8,50,"p",151,9,1
5,8,50,"p",150,9,1
5,8,50,"p",149,9,1
5,8,52,"p",148,9,1
5,8,52,"p",147,9,1
5,8,52,"p",146,9,1
5,8,52,"p",145,9,1
5,8,52,"p",144,9,1
5,8,52,"p",143,9,1
5,8,52,"p",142,9,1
5,8,47,"p",141,9,1
5,8,47,"p",140,9,1
5,8,47,"p",139,9,1
5,8,47,"p",138,9,1
5,8,47,"p",137,9,1
5,8,47,"p",136,9,1
5,8,47,"p",135,9,1
5,8,35,"p",134,9,1
5,8,40,"p",133,9,1
5,8,42,"p",132,9,1
5,8,41,"p",131,9,1
5,8,41,"p",130,9,1
5,8,47,"p",129,9,1
5,8,47,"p",128,9,1
5,8,47,"p",127,9,1
5,8,47,"p",126,9,1
5,8,37,"p",125,9,1
5,8,37,"p",124,9,1
5,8,37,"p",123,9,1
5,8,37,"p",122,9,1
5,8,40,"p",121,9,1
5,8,56,"p",120,9,1
5,8,62,"p",119,9,1
5,8,62,"p",118,9,1
5,8,62,"p",117,9,1
5,8,60,"p",116,9,1
5,8,62,"p",115,9,1
5,8,60,"p",114,9,1
5,8,56,"p",113,9,1
5,8,56,"p",112,9,1
5,8,56,"p",111,9,1
5,8,56,"p",110,9,1
5,8,56,"p",109,9,1
5,8,53,"p",108,9,1
5,8,53,"p",107,9,1
5,8,40,"p",106,9,1
5,8,40,"p",105,9,1
5,8,53,"p",104,9,1
5,8,53,"p",103,9,1
5,8,53,"p",102,9,1
5,8,53,"p",101,9,1
5,8,53,"p",100,9,1
5,8,53,"p",99,9,1
5,8,45,"p",98,9,1
5,8,56,"p",97,9,1
5,8,56,"p",96,9,1
5,8,56,"p",95,9,1
5,8,40,"p",94,9,1
5,8,56,"p",93,9,1
5,8,56,"p",92,9,1
5,8,57,"p",91,9,1
5,8,56,"p",90,9,1
5,8,40,"p",89,9,1
5,8,40,"p",88,9,1
5,8,57,"p",87,9,1
5,8,56,"p",86,9,1
5,8,57,"p",85,9,1
5,8,56,"p",84,9,1
5,8,57,"p",83,9,1
5,8,56,"p",82,9,1
5,8,59,"p",81,9,1
5,8,56,"p",80,9,1
5,8,54,"p",79,9,1
5,8,56,"p",78,9,1
5,8,60,"p",77,9,1
5,8,56,"p",76,9,1
5,8,62,"p",75,9,1
5,8,56,"p",74,9,1
5,8,62,"p",73,9,1
5,8,56,"p",72,9,1
5,8,58,"p",71,9,1
5,8,56,"p",70,9,1
5,8,56,"p",69,9,1
5,8,56,"p",68,9,1
5,8,56,"p",67,9,1
5,8,56,"p",66,9,1
5,8,56,"p",65,9,1
5,8,50,"p",64,9,1
5,8,56,"p",63,9,1
5,8,56,"p",62,9,1
5,8,56,"p",61,9,1
5,8,56,"p",60,9,1
5,8,56,"p",59,9,1
5,8,55,"p",58,9,1
5,8,46,"p",57,9,1
5,8,43,"p",56,9,1
5,8,56,"p",55,9,1
5,8,56,"p",54,9,1
5,8,56,"p",53,9,1
5,8,56,"p",52,9,1
5,8,56,"p",51,9,1
5,8,56,"p",50,9,1
5,8,56,"p",49,9,1
5,8,56,"p",48,9,1
5,8,56,"p",47,9,1
5,8,56,"p",46,9,1
5,8,56,"p",45,9,1
5,8,56,"p",44,9,1
5,8,56,"p",43,9,1
5,8,56,"p",42,9,1
5,8,56,"p",41,9,1
5,8,56,"p",40,9,1
5,8,56,"p",39,9,1
5,8,56,"p",38,9,1
5,8,56,"p",37,9,1
5,8,52,"p",36,9,1
5,8,56,"p",35,9,1
5,8,56,"p",34,9,1
5,8,56,"p",33,9,1
5,8,56,"p",32,9,1
5,8,56,"p",31,9,1
5,8,52,"p",30,9,1
5,8,52,"p",29,9,1
5,8,52,"p",28,9,1
5,8,52,"p",27,9,1
5,8,52,"p",26,9,1
5,8,52,"p",25,9,1
5,8,52,"p",24,9,1
5,8,52,"p",23,9,1
5,8,56,"p",22,9,1
5,8,59,"p",21,9,1
5,8,59,"p",20,9,1
5,8,59,"p",19,9,1
5,8,59,"p",18,9,1
5,8,59,"p",17,9,1
5,8,59,"p",16,9,1
5,8,59,"p",15,9,1
5,8,61,"p",14,9,1
5,8,61,"p",13,9,1
5,8,59,"p",12,9,1
5,8,59,"p",11,9,1
5,8,59,"p",10,9,1
5,8,61,"p",9,9,1
5,8,61,"p",8,9,1
5,8,83,"p",7,9,1
5,8,80,"p",6,9,1
5,8,83,"p",5,9,1
5,8,87,"p",4,9,1
5,8,91,"p",3,9,1
5,8,99,"p",2,9,1
5,8,91,"p",1,9,1
5,7,56,"p",180,9,1
5,7,56,"p",179,9,1
5,7,56,"p",178,9,1
5,7,56,"p",177,9,1
5,7,56,"p",176,9,1
5,7,54,"p",175,9,1
5,7,54,"p",174,9,1
5,7,54,"p",173,9,1
5,7,54,"p",172,9,1
