Origin,Destination,depatureYear,startMonth,departureDay,departureDate,returnYear,returnMonth,returnDay,returnDate,searchYear,searchMonth,searchDay,searchDate,price,dateRange,daysBeforeDeparture,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,5,17,2017-05-17,337.71,11/13 - 11/24,180,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,4,2017-06-04,324,11/13 - 11/24,162,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,5,2017-06-05,324,11/13 - 11/24,161,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,6,2017-06-06,345.4,11/13 - 11/24,160,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,7,2017-06-07,345.4,11/13 - 11/24,159,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,8,2017-06-08,345.4,11/13 - 11/24,158,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,9,2017-06-09,317,11/13 - 11/24,157,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,10,2017-06-10,317,11/13 - 11/24,156,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,11,2017-06-11,317,11/13 - 11/24,155,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,12,2017-06-12,317,11/13 - 11/24,154,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,13,2017-06-13,317,11/13 - 11/24,153,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,14,2017-06-14,317,11/13 - 11/24,152,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,15,2017-06-15,317,11/13 - 11/24,151,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,16,2017-06-16,317,11/13 - 11/24,150,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,17,2017-06-17,317,11/13 - 11/24,149,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,18,2017-06-18,317,11/13 - 11/24,148,
Boston,Los Angeles,2017,11,13,2017-11-13,2017,11,24,2017-11-24,2017,6,19,2017-06-19,325.6,11/13 - 11/24,147,
