holiday,dest_name,hotel_name,stars,description,photo_url,link
Thanksgiving,Rome,Ergife Palace Hotel,4,"A 6-minute walk from Aurelia- Da Rosate bus stop, this modern business hotel is also 4 km from the artwork at St. Peter's Basilica and 5 km from the famous fresco ceilings at the Sistine Chapel.",https://lh3.googleusercontent.com/p/AF1QipOq3EIzwKbas4qGp21z_c4KZKNow_9B9ciNVp1d=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Rome/entity/CgoIicTyrpzI8d1pEAE?ap=EgNDQXcwA1rXAgoFCK8BEAASAghlIgNHQlAqFgoHCOMPEAsYExIHCOMPEAsYHBgJIAGwAQBYAWgImgEsEgRSb21lGiQweDEzMjU4YTExMWJkNzRhYzM6MHgzMDk0ZjlhYjIzODgxMDCqASMKAgghEgIIDxICCBUSAghnEgIIWxIDCI4BEgIILxICCFQYAaoBBgoCCGIYAKoBDwoCCBISAwibARICCGgYAaoBDgoCCBQSAggbEgIIUhgBqgEMCgMInQESAwieARgBqgERCgMItgESAwi4ARIDCLkBGAGqARIKAggcEgIIcxICCEcSAgg2GAGqARYKAggREgIIKhICCEASAgg4EgIIVxgBqgEeCgIILhICCDsSAghWEgIISBICCD0SAggMEgIIJxgBqgEMCgMIrgESAwivARgBqgERCgMIqQESAwirARIDCKoBGAGqAQoKAghQEgIITxgBkgECIAFoAA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CE4QqOACKARqGAoTCMirkuSbvOMCFQAAAAAdAAAAABD2Aw
Thanksgiving,Rome,Aparthotel Adagio Rome Vatican,4,"A 2-minute walk from Balduina train station, this modern hotel next to a park is 4 km from the Vatican Museums.",https://lh3.googleusercontent.com/p/AF1QipP0E7SsmDmPyUpldt0t5lihh2fnfA61g8TKnrsS=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Rome/entity/CgoI_ZLqkciZ7NIDEAE?ap=EgNDQXcwA1rXAgoFCK8BEAASAghlIgNHQlAqFgoHCOMPEAsYExIHCOMPEAsYHBgJIAGwAQBYAWgImgEsEgRSb21lGiQweDEzMjU4YTExMWJkNzRhYzM6MHgzMDk0ZjlhYjIzODgxMDCqASMKAgghEgIIDxICCBUSAghnEgIIWxIDCI4BEgIILxICCFQYAaoBBgoCCGIYAKoBDwoCCBISAwibARICCGgYAaoBDgoCCBQSAggbEgIIUhgBqgEMCgMInQESAwieARgBqgERCgMItgESAwi4ARIDCLkBGAGqARIKAggcEgIIcxICCEcSAgg2GAGqARYKAggREgIIKhICCEASAgg4EgIIVxgBqgEeCgIILhICCDsSAghWEgIISBICCD0SAggMEgIIJxgBqgEMCgMIrgESAwivARgBqgERCgMIqQESAwirARIDCKoBGAGqAQoKAghQEgIITxgBkgECIAFoAA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CHAQqOACKAZqGAoTCMirkuSbvOMCFQAAAAAdAAAAABD2Aw
Thanksgiving,Rome,"Radisson Blu es. Hotel, Rome",5,"Less than a block from Termini Laziali railway station, this chic hotel is 2 km from the Colosseum.",https://lh3.googleusercontent.com/p/AF1QipMD_BsZTK8vnxpII9qnhe1R--rtKtHOULoDczNY=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Rome/entity/CgsInsWI3tj4hcPKARAB?ap=EgNDQmcwA1rXAgoFCK8BEAASAghlIgNHQlAqFgoHCOMPEAsYExIHCOMPEAsYHBgJIAGwAQBYAWgImgEsEgRSb21lGiQweDEzMjU4YTExMWJkNzRhYzM6MHgzMDk0ZjlhYjIzODgxMDCqASMKAgghEgIIDxICCBUSAghnEgIIWxIDCI4BEgIILxICCFQYAaoBBgoCCGIYAKoBDwoCCBISAwibARICCGgYAaoBDgoCCBQSAggbEgIIUhgBqgEMCgMInQESAwieARgBqgERCgMItgESAwi4ARIDCLkBGAGqARIKAggcEgIIcxICCEcSAgg2GAGqARYKAggREgIIKhICCEASAgg4EgIIVxgBqgEeCgIILhICCDsSAghWEgIISBICCD0SAggMEgIIJxgBqgEMCgMIrgESAwivARgBqgERCgMIqQESAwirARIDCKoBGAGqAQoKAghQEgIITxgBkgECIAFoAA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CAgQqOACKABqGAoTCMirkuSbvOMCFQAAAAAdAAAAABD_BA
Thanksgiving,Las Vegas,SLS Las Vegas,4,"Set in a complex of modern buildings on The Strip, this chic casino hotel is 4 miles from McCarran International Airport, a mile from the Las Vegas Convention Center and 3 miles from the Fremont Street Experience mall.",https://lh3.googleusercontent.com/p/AF1QipMPnrGZ7Z7_mdsByrCECrPeRXy8mdTa0Geq6Mop=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Las%20Vegas/entity/CgoIloHV9oyN2MNrEAE?ap=EgAwA1q6AQoFCK8BEAASACIDR0JQKhYKBwjjDxALGBMSBwjjDxALGBwYCSABsAEAWAFoAZoBMhIJTGFzIFZlZ2FzGiUweDgwYmViNzgyYTRmNTdkZDE6MHgzYWNjZDVlNmQ1YjM3OWEzqgEKCgIIEhICCGgYAaoBBgoCCBQYAKoBBwoDCJwBGACqAQ4KAggcEgIIcxICCF8YAaoBDgoCCC4SAghWEgIIGhgBqgEOCgIINRICCAsSAghdGAGSAQIgAWgA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CFwQqOACKARqGAoTCMirkuSbvOMCFQAAAAAdAAAAABDECA&
Thanksgiving,Las Vegas,Treasure Island,4,"Connected to the Fashion Show Mall by a pedestrian bridge, this lively casino hotel is across the Strip from The Palazzo.",https://lh3.googleusercontent.com/proxy/YZwtlYoEDkUU_Ct9QCMbMZHoDaPz8xmMQyPmVUdrVltFSTno9Iys-FlLsNVW63-A5vk4nTb-A3yZ-JEW8t4oTDvl0T6PapcNIfp0ujISxryXpPuiIRL5ygGWE7JqEO-8VSTmgCNNNQVIM33mrlaazPmNFPw5fA=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Las%20Vegas/entity/CgoIk47N4JuN5cUJEAE?ap=MAFavwEKBQivARAAEgUIhwEQViIDR0JQKhYKBwjjDxALGBMSBwjjDxALGBwYCSABsAEAWAFoAZoBMhIJTGFzIFZlZ2FzGiUweDgwYmViNzgyYTRmNTdkZDE6MHgzYWNjZDVlNmQ1YjM3OWEzqgEKCgIIEhICCGgYAaoBBgoCCBQYAKoBBwoDCJwBGACqAQ4KAggcEgIIcxICCF8YAaoBDgoCCC4SAghWEgIIGhgBqgEOCgIINRICCAsSAghdGAGSAQIgAWgA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CLEBEKjgAigJahgKEwjIq5Lkm7zjAhUAAAAAHQAAAAAQ3gs
Thanksgiving,Las Vegas,Red Rock Casino Resort & Spa,5,"This upscale resort is 2 miles from the Red Rock Canyon National Recreation area, 11 miles from the Las Vegas Strip and 17 miles from McCarran International Airport.",https://lh3.googleusercontent.com/p/AF1QipN-gjQ6PmGwB-_24BBB1AfRGI-h4pngB0lq1rJ7=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Las%20Vegas/entity/CgsI_KGmjMmG8ofTARAB?ap=MAFavwEKBQivARAAEgUIhwEQViIDR0JQKhYKBwjjDxALGBMSBwjjDxALGBwYCSABsAEAWAFoAZoBMhIJTGFzIFZlZ2FzGiUweDgwYmViNzgyYTRmNTdkZDE6MHgzYWNjZDVlNmQ1YjM3OWEzqgEKCgIIEhICCGgYAaoBBgoCCBQYAKoBBwoDCJwBGACqAQ4KAggcEgIIcxICCF8YAaoBDgoCCC4SAghWEgIIGhgBqgEOCgIINRICCAsSAghdGAGSAQIgAWgA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=OAFAAEgC&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CJoCEKjgAigIahcKEwjo5KOEobzjAhUAAAAAHQAAAAAQAQ
Thanksgiving,Dublin,Clayton Hotel Charlemont,4,"Overlooking the Grand Canal, this polished hotel is 2 minutes' walk from a tram stop and less than a mile from the iconic Saint Patrick's Cathedral. It's a mile from art exhibitions at the National Gallery of Ireland.",https://lh3.googleusercontent.com/proxy/VzKh3I057n2yJPmNT_OzzUisRLD-cXZl6-t5Twvaect4O0UZ52V_gxTD5z-J07saDmQ3atUVBrQ5MSlZp6lqub7kITg75yR-ai6nordRA9hvDJMPGUDrA7_IH0QmH9LWLJZiN6fa4GZOgQ4nycZvaz1O3ybkvA=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Dublin/entity/CgkI89Sr8fGLvDwQAQ?ap=MAFa_wEKBQisAhAAEgMIhwEiA0dCUCoWCgcI4w8QCxgTEgcI4w8QCxgcGAkgAbABAFgBaAGCASUweDgwYmViNzgyYTRmNTdkZDE6MHgzYWNjZDVlNmQ1YjM3OWEzmgEuEgZEdWJsaW4aJDB4NDg2NzBlODBlYTI3YWMyZjoweGEwMGM3YTk5NzMxNzFhMKoBCgoCCCESAggVGAGqAQYKAggSGACqARIKAggcEgIIURICCEcSAgg2GAGqARIKAggREgIIKhICCDgSAggCGAGqARIKAgguEgIIPBICCDsSAggnGAGqAQoKAghQEgIITxgBqgEMCgMIowESAwikARgBkgECIAFoAA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CDsQqOACKANqGAoTCOjko4ShvOMCFQAAAAAdAAAAABDVAg
Thanksgiving,Dublin,Crowne Plaza Dublin - Blanchardstown,4,"This polished hotel with modern styling is 8 km from Phoenix Park, a sprawling green space with monuments and gardens, and 12 km from St Patrick's Cathedral in Dublin's city centre.",https://lh3.googleusercontent.com/p/AF1QipNJan-NMN3DJLZTcPd65Y8SFED2Scknp8zrMYtN=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Dublin/entity/CgoI8uGH7p2B544oEAE?ap=EgNDQXcwA1r_AQoFCKwCEAASAwiHASIDR0JQKhYKBwjjDxALGBMSBwjjDxALGBwYCSABsAEAWAFoAYIBJTB4ODBiZWI3ODJhNGY1N2RkMToweDNhY2NkNWU2ZDViMzc5YTOaAS4SBkR1YmxpbhokMHg0ODY3MGU4MGVhMjdhYzJmOjB4YTAwYzdhOTk3MzE3MWEwqgEKCgIIIRICCBUYAaoBBgoCCBIYAKoBEgoCCBwSAghREgIIRxICCDYYAaoBEgoCCBESAggqEgIIOBICCAIYAaoBEgoCCC4SAgg8EgIIOxICCCcYAaoBCgoCCFASAghPGAGqAQwKAwijARIDCKQBGAGSAQIgAWgA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CDsQqOACKANqGAoTCOjko4ShvOMCFQAAAAAdAAAAABDdAw
Thanksgiving,Dublin,Dublin Skylon Hotel,4,This laid-back hotel is 3 km from the city centre and 9 km from Dublin Airport.,https://lh3.googleusercontent.com/p/AF1QipOFzX-iasehOpF6YGJwKgtwjYn-3Y-UDhYWE6s8=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Dublin/entity/CgsIwZbnrbrTmaP5ARAB?ap=MAFa_wEKBQisAhAAEgMIhwEiA0dCUCoWCgcI4w8QCxgTEgcI4w8QCxgcGAkgAbABAFgBaAiCASUweDgwYmViNzgyYTRmNTdkZDE6MHgzYWNjZDVlNmQ1YjM3OWEzmgEuEgZEdWJsaW4aJDB4NDg2NzBlODBlYTI3YWMyZjoweGEwMGM3YTk5NzMxNzFhMKoBCgoCCCESAggVGAGqAQYKAggSGACqARIKAggcEgIIURICCEcSAgg2GAGqARIKAggREgIIKhICCDgSAggCGAGqARIKAgguEgIIPBICCDsSAggnGAGqAQoKAghQEgIITxgBqgEMCgMIowESAwikARgBkgECIAFoAA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CAgQqOACKABqGAoTCOjko4ShvOMCFQAAAAAdAAAAABC_BQ&
Thanksgiving,Porto,Eurostars Heroismo,4,"Across the street from the Heroísmo subway station, this chic modern hotel is 2 km from both the Romanesque Porto Cathedral and Estádio do Dragão, home of the FC Porto soccer team.",https://lh3.googleusercontent.com/p/AF1QipMp2FWSQVijlA8mFh2HwFbIhvFIonG2iETbtTxt=w592-h404-n-k-rw-no-v1,https://www.google.com/travel/hotels/Porto/entity/CgsIoLblh9ef8tzWARAB?ap=MAFa2AEKBQisAhAAEgIIRSIDR0JQKhYKBwjjDxALGBMSBwjjDxALGBwYCSABsAEAWAFoAYIBJTB4ODBiZWI3ODJhNGY1N2RkMToweDNhY2NkNWU2ZDViMzc5YTOaAS0SBVBvcnRvGiQweGQyNDY1YWJjNGUxNTNjMToweGE2NDhkOTU2NDBiMTE0YmOqAQ4KAgghEgIIFRICCFsYAaoBEgoCCBESAggqEgIIOBICCAIYAaoBDwoCCC4SAwiAARICCAwYAaoBEQoDCKkBEgMIqwESAwiqARgBkgECIAFoAA&g2lb=2502404%2C4208993%2C4223281%2C4252074%2C4253230%2C4253565%2C4254308%2C4258168%2C4260007%2C4265959%2C4270442%2C4274032%2C4274649%2C4276660%2C4282211%2C4282363%2C4284819%2C4251519%2C4263910%2C4265427%2C4270859%2C4280642%2C4281193%2C4282092&un=1&rp=QABIAg&ictx=1&tcfs=EhoaGAoKMjAxOS0xMS0xORIKMjAxOS0xMS0yOCIYCgoyMDE5LTExLTE5EgoyMDE5LTExLTI4UgA&ved=0CHEQqOACKAVqGAoTCOjko4ShvOMCFQAAAAAdAAAAABCQCA&
