city,rank,holiday,price,holidaySavings,latitude,longitude,link
Rome,1,Thanksgiving,104,0.35,41.9028,12.4964
Las Vegas,2,Thanksgiving,121,0.34,36.1699,-115.1398
Dublin,3,Thanksgiving,150,0.28,53.3498,-6.2603
Porto,4,Thanksgiving,87,0.27,41.1579,-8.6291
Barcelona,5,Thanksgiving,142,0.25,41.3851,2.1734
Tokyo,6,Thanksgiving,201,0.24,35.6804,139.769
Madrid,7,Thanksgiving,162,0.18,40.4168,-3.7038
Bali,8,Thanksgiving,73,0.14,-8.3405,115.092
New York City,9,Thanksgiving,318,0.14,40.7128,-74.006
Malé,10,Thanksgiving,92,0.13,4.1755,73.5093
Perissa,1,Canadian Thanksgiving,74,0.63,36.3571,25.4749
Amsterdam,2,Canadian Thanksgiving,178,0.50,52.368,4.9036
Pa Tong,3,Canadian Thanksgiving,40,0.45,7.8966,98.3021
Frankfurt,4,Canadian Thanksgiving,106,0.41,50.1109,8.6821
Cala d'Or,5,Canadian Thanksgiving,89,0.39,39.3726,3.2291
Kyiv,6,Canadian Thanksgiving,81,0.38,50.4501,30.5234
Ibiza,7,Canadian Thanksgiving,158,0.37,39.02,1.4821
Bogotá,8,Canadian Thanksgiving,59,0.37,4.711,-74.0721
Reykjavík,9,Canadian Thanksgiving,142,0.37,64.1466,-21.9426
South Lake Tahoe,10,Canadian Thanksgiving,160,0.35,38.9399,-119.9772
Lisbon,1,December Holidays,88,0.40,38.7223,-9.1393
Calgary,2,December Holidays,109,0.36,51.0486,-114.0708
Madison,3,December Holidays,131,0.34,43.0731,-89.4012
Karuizawa,4,December Holidays,371,0.33,36.3484,138.597
Chicago,5,December Holidays,157,0.31,41.8781,-87.6298
Kyoto,6,December Holidays,248,0.30,35.0116,135.7681
Melbourne,7,December Holidays,133,0.28,-37.8136,144.9631
Bali,8,December Holidays,91,0.28,-8.3405,115.092
Madrid,9,December Holidays,137,0.27,40.4168,-3.7038
Philadelphia,10,December Holidays,231,0.26,39.9526,-75.1652
Prague,1,Lunar New Year,98,0.54,50.0755,14.4378
Hakone,2,Lunar New Year,370,0.53,35.2324,130.1069
Venice,3,Lunar New Year,125,0.53,45.4408,12.3155
Yokohama,4,Lunar New Year,139,0.52,35.4437,139.638
Edinburgh,5,Lunar New Year,120,0.51,55.9533,-3.1883
Funchal,6,Lunar New Year,125,0.48,32.6669,-16.9241
Gold Coast,7,Lunar New Year,183,0.47,-28.0167,153.4
Gramado,8,Lunar New Year,95,0.45,-29.3746,-50.8764
Ban Tai,9,Lunar New Year,105,0.43,9.7199,100.0472
Grand Baie,10,Lunar New Year,213,0.41,-20.0089,57.5816,
Tulum,1,Martin Luther King Jr. Weekend,133,0.3111,20.21141854,-87.46535018,"https://search.google.com/local/places/hotel/categorical?q=tulum+mexico+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Asheville,2,Martin Luther King Jr. Weekend,172,0.3095,35.59505811,-82.55148693,"https://search.google.com/local/places/hotel/categorical?q=asheville+northcarolina+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
Jackson,3,Martin Luther King Jr. Weekend,200,0.2975,43.47992909,-110.7624282,"https://search.google.com/local/places/hotel/categorical?q=jackson+wyoming+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
New York,4,Martin Luther King Jr. Weekend,200,0.2487,40.71277534,-74.0059728,"https://search.google.com/local/places/hotel/categorical?q=newyorkcity+newyork+hotels&hotel_dates=2019-01-18,2019-01-21&hotel_mode=1&utm_source=marketing&utm_campaign=HD19"
