Holiday,City,Link
Memorial Day,"Charleston",https://www.google.co.uk/destination?q=charleston+sc&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0gkgp&sa=X&ved=2ahUKEwiR2bHZptLhAhXBDGMBHQmzCY0Q6tEBKAQwAHoECAsQBw#dest_mid=/m/0gkgp&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Memorial Day,"Austin",https://www.google.co.uk/destination?q=austin+tx&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0vzm&sa=X&ved=2ahUKEwj6vZPmptLhAhWkAmMBHQ-fDWIQ6tEBKAQwAHoECAsQBw#dest_mid=/m/0vzm&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Memorial Day,"Myrtle Beach",https://www.google.co.uk/destination?q=myrtle+beach+sc&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0_m3k&sa=X&ved=2ahUKEwicu6TtptLhAhWRlhQKHUWHCaMQ6tEBKAQwAXoECAsQBw#dest_mid=/m/0_m3k&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Memorial Day,"Montreal",https://www.google.co.uk/destination?q=montreal&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/052p7&sa=X&ved=2ahUKEwijqdv6ptLhAhUOqxoKHTHLBksQ6tEBKAQwAHoECAoQBw#dest_mid=/m/052p7&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Memorial Day,"Bermuda",https://www.google.co.uk/destination?q=bermuda&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0165b&sa=X&ved=2ahUKEwiKzuvFptLhAhUN1RoKHZyOBKAQ6tEBKAQwAHoECAoQBw#dest_mid=/m/0165b&tcfs=EhwaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNSAB
Fourth of July,"Nantucket",https://www.google.co.uk/destination?q=nantucket&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0gv10&sa=X&ved=2ahUKEwiX17yBp9LhAhVGdhoKHazAC_EQ6tEBKAQwAHoECAkQBw#dest_mid=/m/0gv10&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Fourth of July,"Myrtle Beach",https://www.google.co.uk/destination?q=myrtle+beach+sc&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0_m3k&sa=X&ved=2ahUKEwicu6TtptLhAhWRlhQKHUWHCaMQ6tEBKAQwAXoECAsQBw#dest_mid=/m/0_m3k&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Fourth of July,"Anchorage",https://www.google.co.uk/destination?q=anchorage&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0g_wn2&sa=X&ved=2ahUKEwik7L6Hp9LhAhXy8eAKHc4bDNMQ6tEBKAQwAHoECAkQBw#dest_mid=/m/0g_wn2&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Fourth of July,"Calgary",https://www.google.co.uk/destination?q=calgary&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/01r32&sa=X&ved=2ahUKEwibqpyMp9LhAhUMORQKHY5GAh4Q6tEBKAQwAHoECAoQBw#dest_mid=/m/01r32&tcfs=EhwaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNSAB
Fourth of July,"Atlantic City",https://www.google.co.uk/destination?q=atlantic+city&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0qlrh&sa=X&ved=2ahUKEwi72_ySp9LhAhVixoUKHehbBxYQ6tEBKAQwAHoECAsQBw#dest_mid=/m/0qlrh&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Labor Day,"Nantucket",https://www.google.co.uk/destination?q=nantucket&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0gv10&sa=X&ved=2ahUKEwiX17yBp9LhAhVGdhoKHazAC_EQ6tEBKAQwAHoECAkQBw#dest_mid=/m/0gv10&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Labor Day,"Montreal",https://www.google.co.uk/destination?q=montreal&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/052p7&sa=X&ved=2ahUKEwijqdv6ptLhAhUOqxoKHTHLBksQ6tEBKAQwAHoECAoQBw#dest_mid=/m/052p7&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Labor Day,"Nashville",https://www.google.co.uk/destination?q=nashville+tn&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/05jbn&sa=X&ved=2ahUKEwiA39OZp9LhAhUtx4UKHSVjClsQ6tEBKAQwAHoECAsQBw#dest_mid=/m/05jbn&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Labor Day,"Chicago",https://www.google.co.uk/destination?q=chicago+il&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/01_d4&sa=X&ved=2ahUKEwjj9fiep9LhAhUHuRoKHYjfD20Q6tEBKAQwAHoECAsQBw#dest_mid=/m/01_d4&tcfs=EhoaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNQ
Labor Day,"Dallas",https://www.google.co.uk/destination?q=dallas+tx&rlz=1C5CHFA_enGB834GB834&site=search&output=search&dest_mid=/m/0f2rq&sa=X&ved=2ahUKEwjuud6kp9LhAhWSz4UKHSYuDtMQ6tEBKAQwAHoECAsQBw#dest_mid=/m/0f2rq&tcfs=EhwaGAoKMjAxOS0wNS0wMRIKMjAxOS0wNS0wNSAB
