Holiday,CountryFilter,City,Country,Link
Thanksgiving,United States,Brussels,Belgium,https://www.google.com/destination?dest_mid=/m/0177z&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/0177z&dest_src=yts&tcfs=EhQKCC9tLzAxNzd6EghCcnVzc2Vscw
Thanksgiving,United States,Valencia,Spain,https://www.google.com/destination?dest_mid=/m/0h3tv&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/0h3tv&dest_src=yts&tcfs=EhQKCC9tLzBoM3R2EghWYWxlbmNpYQ
Thanksgiving,United States,Port of Spain,Trinidad and Tobago,https://www.google.com/destination?dest_mid=/m/0fs29&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/0fs29&dest_src=yts&tcfs=EhkKCC9tLzBmczI5Eg1Qb3J0IG9mIFNwYWlu
Thanksgiving,United States,Reykjavik,Iceland,https://www.google.com/destination?dest_mid=/m/06flg&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/06flg&dest_src=yts&tcfs=EhYKCC9tLzA2ZmxnEgpSZXlramF2w61r
Thanksgiving,United States,Sydney,Australia,https://www.google.com/destination?dest_mid=/m/06y57&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/06y57&dest_src=yts&tcfs=EhIKCC9tLzA2eTU3EgZTeWRuZXk
Canadian Thanksgiving,Canada,Chicago IL,US,https://www.google.com/destination?dest_mid=/m/01_d4&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/01_d4&dest_src=yts&tcfs=EhMKCC9tLzAxX2Q0EgdDaGljYWdv
Canadian Thanksgiving,Canada,Nashville TN,US,https://www.google.com/destination?dest_mid=/m/05jbn&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/05jbn&dest_src=yts&tcfs=EhUKCC9tLzA1amJuEglOYXNodmlsbGU
Canadian Thanksgiving,Canada,Las Vegas NV,US,https://www.google.com/destination?dest_mid=/m/0cv3w&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/0cv3w&dest_src=yts&tcfs=EhUKCC9tLzBjdjN3EglMYXMgVmVnYXM
Canadian Thanksgiving,Canada,Cleveland OH,US,https://www.google.com/destination?dest_mid=/m/01sn3&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/01sn3&dest_src=yts&tcfs=EhUKCC9tLzAxc24zEglDbGV2ZWxhbmQ
Canadian Thanksgiving,Canada,New York NY,US,https://www.google.com/destination?dest_mid=/m/02_286&dest_src=yts&ved=2ahUKEwjEveaGsM3jAhVaj4UKHVa2BuEQm_ECegQIARAP&hl=en&gl=us&tcfs=#dest_mid=/m/02_286&dest_src=yts&tcfs=EhUKCS9tLzAyXzI4NhIITmV3IFlvcms
